"order_id","order_date","total_amount","customer_id","first_name","last_name","email","city","country","payment_id","payment_date","payment_status","payment_method"
16,"2025-01-16","1999.00",16,"Dhruv","Agarwal","dhruv16@gmail.com","Chandigarh","India",16,"2025-01-16","Completed","Cash"
17,"2025-01-17","1499.00",17,"Yash","Chopra","yash17@gmail.com","Noida","India",17,"2025-01-17","Completed","Credit Card"
18,"2025-01-18","1299.00",18,"Harsh","Kapoor","harsh18@gmail.com","Gurgaon","India",18,"2025-01-18","Pending","UPI"
19,"2025-01-19","4499.00",19,"Tanish","Malhotra","tanish19@gmail.com","Kanpur","India",19,"2025-01-19","Completed","Debit Card"
20,"2025-01-20","899.00",20,"Aniket","Kulkarni","aniket20@gmail.com","Nashik","India",20,"2025-01-20","Completed","Net Banking"
21,"2025-01-21","28999.00",21,"Ayaan","Khan","ayaan21@gmail.com","Mumbai","India",21,"2025-01-21","Completed","UPI"
22,"2025-01-22","24999.00",22,"Reyansh","Malik","reyansh22@gmail.com","Delhi","India",22,"2025-01-22","Completed","Credit Card"
23,"2025-01-23","11999.00",23,"Shaurya","Tiwari","shaurya23@gmail.com","Pune","India",23,"2025-01-23","Pending","Debit Card"
24,"2025-01-24","38999.00",24,"Atharv","Jain","atharv24@gmail.com","Hyderabad","India",24,"2025-01-24","Completed","Net Banking"
25,"2025-01-25","3499.00",25,"Parth","Chauhan","parth25@gmail.com","Bangalore","India",25,"2025-01-25","Failed","UPI"
26,"2025-01-26","4999.00",26,"Rudra","Thakur","rudra26@gmail.com","Chennai","India",26,"2025-01-26","Completed","Cash"
27,"2025-01-27","1499.00",27,"Laksh","Arora","laksh27@gmail.com","Ahmedabad","India",27,"2025-01-27","Completed","Credit Card"
28,"2025-01-28","2699.00",28,"Dev","Soni","dev28@gmail.com","Kolkata","India",28,"2025-01-28","Pending","UPI"
29,"2025-01-29","8999.00",29,"Om","Pandey","om29@gmail.com","Jaipur","India",29,"2025-01-29","Completed","Debit Card"
30,"2025-01-30","15999.00",30,"Shivansh","Dubey","shivansh30@gmail.com","Lucknow","India",30,"2025-01-30","Completed","Net Banking"
31,"2025-02-01","6999.00",31,"Ved","Goyal","ved31@gmail.com","Surat","India",31,"2025-02-01","Completed","UPI"
32,"2025-02-02","5999.00",32,"Pranav","Bhat","pranav32@gmail.com","Nagpur","India",32,"2025-02-02","Completed","Credit Card"
33,"2025-02-03","1499.00",33,"Aarush","Shetty","aarush33@gmail.com","Indore","India",33,"2025-02-03","Pending","Debit Card"
34,"2025-02-04","3499.00",34,"Krish","Rastogi","krish34@gmail.com","Bhopal","India",34,"2025-02-04","Completed","Net Banking"
35,"2025-02-05","2999.00",35,"Ayush","Rawat","ayush35@gmail.com","Patna","India",35,"2025-02-05","Failed","UPI"
36,"2025-02-06","2499.00",36,"Ritik","Solanki","ritik36@gmail.com","Chandigarh","India",36,"2025-02-06","Completed","Cash"
37,"2025-02-07","2199.00",37,"Varun","Bora","varun37@gmail.com","Noida","India",37,"2025-02-07","Completed","Credit Card"
38,"2025-02-08","1999.00",38,"Siddharth","Pillai","siddharth38@gmail.com","Gurgaon","India",38,"2025-02-08","Pending","UPI"
39,"2025-02-09","4999.00",39,"Yuvraj","Chaudhary","yuvraj39@gmail.com","Kanpur","India",39,"2025-02-09","Completed","Debit Card"
40,"2025-02-10","2999.00",40,"Arnav","Kohli","arnav40@gmail.com","Nashik","India",40,"2025-02-10","Completed","Net Banking"
41,"2025-02-11","8999.00",41,"Ansh","Tripathi","ansh41@gmail.com","Mumbai","India",41,"2025-02-11","Completed","UPI"
42,"2025-02-12","2499.00",42,"Keshav","Lal","keshav42@gmail.com","Delhi","India",42,"2025-02-12","Completed","Credit Card"
43,"2025-02-13","4999.00",43,"Tejas","Kulshrestha","tejas43@gmail.com","Pune","India",43,"2025-02-13","Pending","Debit Card"
44,"2025-02-14","2999.00",44,"Harshit","Tomar","harshit44@gmail.com","Hyderabad","India",44,"2025-02-14","Completed","Net Banking"
45,"2025-02-15","1999.00",45,"Rishabh","Bedi","rishabh45@gmail.com","Bangalore","India",45,"2025-02-15","Failed","UPI"
46,"2025-02-16","2499.00",46,"Darsh","Bhattacharya","darsh46@gmail.com","Chennai","India",46,"2025-02-16","Completed","Cash"
47,"2025-02-17","2199.00",47,"Amit","Vyas","amit47@gmail.com","Ahmedabad","India",47,"2025-02-17","Completed","Credit Card"
48,"2025-02-18","2499.00",48,"Neel","Shukla","neel48@gmail.com","Kolkata","India",48,"2025-02-18","Pending","UPI"
49,"2025-02-19","5999.00",49,"Samar","Nanda","samar49@gmail.com","Jaipur","India",49,"2025-02-19","Completed","Debit Card"
50,"2025-02-20","3499.00",50,"Tanmay","Kamble","tanmay50@gmail.com","Lucknow","India",50,"2025-02-20","Completed","Net Banking"
51,"2025-02-21","7999.00",51,"Mohit","Srivastava","mohit51@gmail.com","Surat","India",51,"2025-02-21","Completed","UPI"
52,"2025-02-22","6999.00",52,"Deepak","Menon","deepak52@gmail.com","Nagpur","India",52,"2025-02-22","Completed","Credit Card"
53,"2025-02-23","5999.00",53,"Abhishek","Rana","abhishek53@gmail.com","Indore","India",53,"2025-02-23","Pending","Debit Card"
54,"2025-02-24","29999.00",54,"Mayank","Pathak","mayank54@gmail.com","Bhopal","India",54,"2025-02-24","Completed","Net Banking"
55,"2025-02-25","15999.00",55,"Vikas","Bhardwaj","vikas55@gmail.com","Patna","India",55,"2025-02-25","Failed","UPI"
56,"2025-02-26","24999.00",56,"Sandeep","Chatterjee","sandeep56@gmail.com","Chandigarh","India",56,"2025-02-26","Completed","Cash"
57,"2025-02-27","18999.00",57,"Rajat","Narang","rajat57@gmail.com","Noida","India",57,"2025-02-27","Completed","Credit Card"
58,"2025-02-28","999.00",58,"Gaurav","Seth","gaurav58@gmail.com","Gurgaon","India",58,"2025-02-28","Pending","UPI"
59,"2025-03-01","14999.00",59,"Kunal","Acharya","kunal59@gmail.com","Kanpur","India",59,"2025-03-01","Completed","Debit Card"
60,"2025-03-02","7999.00",60,"Ravi","Kulkarni","ravi60@gmail.com","Nashik","India",60,"2025-03-02","Completed","Net Banking"
61,"2025-03-03","499.00",61,"Akash","Joshi","akash61@gmail.com","Mumbai","India",61,"2025-03-03","Completed","UPI"
62,"2025-03-04","899.00",62,"Suraj","Yogi","suraj62@gmail.com","Delhi","India",62,"2025-03-04","Completed","Credit Card"
63,"2025-03-05","2499.00",63,"Nitin","Prasad","nitin63@gmail.com","Pune","India",63,"2025-03-05","Pending","Debit Card"
64,"2025-03-06","1999.00",64,"Hemant","Khatri","hemant64@gmail.com","Hyderabad","India",64,"2025-03-06","Completed","Net Banking"
65,"2025-03-07","3499.00",65,"Manish","Sawant","manish65@gmail.com","Bangalore","India",65,"2025-03-07","Failed","UPI"
66,"2025-03-08","44999.00",66,"Ajay","Purohit","ajay66@gmail.com","Chennai","India",66,"2025-03-08","Completed","Cash"
67,"2025-03-09","999.00",67,"Ramesh","Mahajan","ramesh67@gmail.com","Ahmedabad","India",67,"2025-03-09","Completed","Credit Card"
68,"2025-03-10","799.00",68,"Vivek","Dixit","vivek68@gmail.com","Kolkata","India",68,"2025-03-10","Pending","UPI"
69,"2025-03-11","1999.00",69,"Anuj","Bajaj","anuj69@gmail.com","Jaipur","India",69,"2025-03-11","Completed","Debit Card"
70,"2025-03-12","899.00",70,"Pratik","Sharma","pratik70@gmail.com","Lucknow","India",70,"2025-03-12","Completed","Net Banking"
71,"2025-03-13","4999.00",71,"Sahil","Kapoor","sahil71@gmail.com","Surat","India",71,"2025-03-13","Completed","UPI"
72,"2025-03-14","2999.00",72,"Tushar","Garg","tushar72@gmail.com","Nagpur","India",72,"2025-03-14","Completed","Credit Card"
73,"2025-03-15","1499.00",73,"Adarsh","Mittal","adarsh73@gmail.com","Indore","India",73,"2025-03-15","Pending","Debit Card"
74,"2025-03-16","999.00",74,"Bhavesh","Parekh","bhavesh74@gmail.com","Bhopal","India",74,"2025-03-16","Completed","Net Banking"
75,"2025-03-17","1999.00",75,"Lokesh","Jadhav","lokesh75@gmail.com","Patna","India",75,"2025-03-17","Failed","UPI"
76,"2025-03-18","5999.00",76,"Pankaj","Sahu","pankaj76@gmail.com","Chandigarh","India",76,"2025-03-18","Completed","Cash"
77,"2025-03-19","1999.00",77,"Chetan","Naidu","chetan77@gmail.com","Noida","India",77,"2025-03-19","Completed","Credit Card"
78,"2025-03-20","8999.00",78,"Rohit","Bisht","rohit78@gmail.com","Gurgaon","India",78,"2025-03-20","Pending","UPI"
79,"2025-03-21","3999.00",79,"Alok","Reddy","alok79@gmail.com","Kanpur","India",79,"2025-03-21","Completed","Debit Card"
80,"2025-03-22","1299.00",80,"Sagar","Iyer","sagar80@gmail.com","Nashik","India",80,"2025-03-22","Completed","Net Banking"
81,"2025-03-23","1499.00",81,"Vinay","Deshmukh","vinay81@gmail.com","Mumbai","India",81,"2025-03-23","Completed","UPI"
82,"2025-03-24","1999.00",82,"Abhay","Rajput","abhay82@gmail.com","Delhi","India",82,"2025-03-24","Completed","Credit Card"
83,"2025-03-25","3499.00",83,"Shreyas","Kulkarni","shreyas83@gmail.com","Pune","India",83,"2025-03-25","Pending","Debit Card"
84,"2025-03-26","999.00",84,"Uday","Shinde","uday84@gmail.com","Hyderabad","India",84,"2025-03-26","Completed","Net Banking"
85,"2025-03-27","2499.00",85,"Naveen","Bhandari","naveen85@gmail.com","Bangalore","India",85,"2025-03-27","Failed","UPI"
86,"2025-03-28","1499.00",86,"Pradeep","Choudhary","pradeep86@gmail.com","Chennai","India",86,"2025-03-28","Completed","Cash"
87,"2025-03-29","1999.00",87,"Rohit","Mohan","rohit87@gmail.com","Ahmedabad","India",87,"2025-03-29","Completed","Credit Card"
88,"2025-03-30","899.00",88,"Arpit","Tandon","arpit88@gmail.com","Kolkata","India",88,"2025-03-30","Pending","UPI"
89,"2025-03-31","799.00",89,"Anmol","Verma","anmol89@gmail.com","Jaipur","India",89,"2025-03-31","Completed","Debit Card"
90,"2025-04-01","699.00",90,"Kartik","Sinha","kartik90@gmail.com","Lucknow","India",90,"2025-04-01","Completed","Net Banking"
91,"2025-04-02","45000.00",91,"Yatin","Mehra","yatin91@gmail.com","Surat","India",91,"2025-04-02","Completed","UPI"
92,"2025-04-03","25000.00",92,"Nilesh","More","nilesh92@gmail.com","Nagpur","India",92,"2025-04-03","Completed","Credit Card"
93,"2025-04-04","18000.00",93,"Harendra","Chawla","harendra93@gmail.com","Indore","India",93,"2025-04-04","Pending","Debit Card"
94,"2025-04-05","12000.00",94,"Suresh","Kapadia","suresh94@gmail.com","Bhopal","India",94,"2025-04-05","Completed","Net Banking"
95,"2025-04-06","30000.00",95,"Mahesh","Kale","mahesh95@gmail.com","Patna","India",95,"2025-04-06","Failed","UPI"
96,"2025-04-07","22000.00",96,"Ganesh","Rao","ganesh96@gmail.com","Chandigarh","India",96,"2025-04-07","Completed","Cash"
97,"2025-04-08","15000.00",97,"Prashant","Singh","prashant97@gmail.com","Noida","India",97,"2025-04-08","Completed","Credit Card"
98,"2025-04-09","35000.00",98,"Dinesh","Yadav","dinesh98@gmail.com","Gurgaon","India",98,"2025-04-09","Pending","UPI"
99,"2025-04-10","28000.00",99,"Raghav","Kapoor","raghav99@gmail.com","Kanpur","India",99,"2025-04-10","Completed","Debit Card"
100,"2025-04-11","17000.00",100,"Aakash","Bose","aakash100@gmail.com","Nashik","India",100,"2025-04-11","Completed","Net Banking"
